movie,genre,year,link,summary,celebrity1,celebrity2,celebrity3,celebrity4,celebrity5,celebrity6,,
肖申克的救赎 The Shawshank Redemption,剧情犯罪,1994,"https://movie.douban.com/subject/1292052
",一场谋杀案使银行家安迪（蒂姆•罗宾斯TimRobbins饰）蒙冤入狱，谋杀妻子及其情人的指控将囚禁他终生。在肖申克监狱的首次现身就让监狱“大哥”瑞德（摩根•弗里曼MorganFreeman饰）对他另眼相看。瑞德帮助他搞到一把石锤和一幅女明星海报，两人渐成患难之交。很快，安迪在监狱里大显其才，担当监狱图书管理员，并利用自己的金融知识帮助监狱官避税，引起了典狱长的注意，被招致麾下帮助典狱长洗黑钱。偶然一次，他得知一名新入狱的小偷能够作证帮他洗脱谋杀罪。燃起一丝希望的安迪找到了典狱长，希望他能帮自己翻案。阴险伪善的狱长假装答应安迪，背后却派人杀死小偷，让他唯一能合法出狱的希望泯灭。沮丧的安迪并没有绝望，在一个电闪雷鸣的风雨夜，一场暗藏几十年的越狱计划让他自我救赎，重获自由！老朋友瑞德在他的鼓舞和帮助下，也勇敢地奔向自由。本片获得1995年奥...(展开全部),弗兰克·德拉邦特 导演,蒂姆·罗宾斯 饰 安迪·杜佛兰 Andy Dufresne,摩根·弗里曼 饰 艾利斯·波伊德·“瑞德”·瑞丁 Ellis Boyd 'Red' Redding,鲍勃·冈顿 饰 监狱长山姆·诺顿 Warden Norton,威廉姆·赛德勒 饰 海伍德 Heywood,克兰西·布朗 饰 上尉哈德利 Captain Hadley,,
这个杀手不太冷 Léon,剧情动作犯罪,1994,"https://movie.douban.com/subject/1295644
",里昂（让·雷诺饰）是名孤独的职业杀手，受人雇佣。一天，邻居家小姑娘马蒂尔达（纳塔丽·波特曼饰)敲开他的房门，要求在他那里暂避杀身之祸。原来邻居家的主人是警方缉毒组的眼线，只因贪污了一小包毒品而遭恶警（加里·奥德曼饰）杀害全家的惩罚。马蒂尔达得到里昂的留救，幸免于难，并留在里昂那里。里昂教小女孩使枪，她教里昂法文，两人关系日趋亲密，相处融洽。女孩想着去报仇，反倒被抓，里昂及时赶到，将女孩救回。混杂着哀怨情仇的正邪之战渐次升级，更大的冲突在所难免……,吕克·贝松 导演,让·雷诺 饰 莱昂 Léon,娜塔莉·波特曼 饰 马蒂尔达 Mathilda,加里·奥德曼 饰 斯坦斯菲尔德 Stansfield,丹尼·爱罗 饰 托尼 Tony,彼得·阿佩尔 饰 莫克 Malky,,
阿甘正传 Forrest Gump,剧情爱情,1994,"https://movie.douban.com/subject/1292720
",阿甘（汤姆·汉克斯饰）于二战结束后不久出生在美国南方阿拉巴马州一个闭塞的小镇，他先天弱智，智商只有75，然而他的妈妈是一个性格坚强的女性，她常常鼓励阿甘“傻人有傻福”，要他自强不息。阿甘像普通孩子一样上学，并且认识了一生的朋友和至爱珍妮（罗宾·莱特·潘饰），在珍妮和妈妈的爱护下，阿甘凭着上帝赐予的“飞毛腿”开始了一生不停的奔跑。阿甘成为橄榄球巨星、越战英雄、乒乓球外交使者、亿万富翁，但是，他始终忘不了珍妮，几次匆匆的相聚和离别，更是加深了阿甘的思念。有一天，阿甘收到珍妮的信，他们终于又要见面……,罗伯特·泽米吉斯 导演,汤姆·汉克斯 饰 Forrest Gump,罗宾·怀特 饰 Jenny Curran,加里·西尼斯 饰 Lieutenant Dan Taylor,麦凯尔泰·威廉逊 饰 Bubba Blue,莎莉·菲尔德 饰 Mrs. Gump,,
盗梦空间 Inception,剧情科幻悬疑冒险,2010,"https://movie.douban.com/subject/3541415
",道姆·柯布（莱昂纳多·迪卡普里奥LeonardoDiCaprio饰）与同事阿瑟（约瑟夫·戈登-莱维特JosephGordon-Levitt饰）和纳什（卢卡斯·哈斯LukasHaas饰）在一次针对日本能源大亨齐藤（渡边谦饰）的盗梦行动中失败，反被齐藤利用。齐藤威逼利诱因遭通缉而流亡海外的柯布帮他拆分他竞争对手的公司，采取极端措施在其唯一继承人罗伯特·费希尔（希里安·墨菲CillianMurphy饰）的深层潜意识中种下放弃家族公司、自立门户的想法。为了重返美国，柯布偷偷求助于岳父迈尔斯（迈克尔·凯恩MichaelCaine饰），吸收了年轻的梦境设计师艾里阿德妮（艾伦·佩吉EllenPage饰）、梦境演员艾姆斯（汤姆·哈迪TomHardy饰）和药剂师约瑟夫（迪利普·劳DileepRao饰）加入行动。在一层层...(展开全部),克里斯托弗·诺兰 导演,莱昂纳多·迪卡普里奥 饰 柯布 Cobb,约瑟夫·高登-莱维特 饰 阿瑟 Arthur,艾利奥特·佩吉 饰 艾里阿德妮 Ariadne,汤姆·哈迪 饰 艾姆斯 Eames,渡边谦 饰 齐藤 Saito,,
阿凡达 Avatar,动作科幻冒险,2009,"https://movie.douban.com/subject/1652587
",战斗中负伤而下身瘫痪的前海军战士杰克·萨利（萨姆·沃辛顿SamWorthington饰）决定替死去的同胞哥哥来到潘多拉星操纵格蕾丝博士（西格妮·韦弗SigourneyWeaver饰）用人类基因与当地纳美部族基因结合创造出的“阿凡达”混血生物。杰克的目的是打入纳美部落，外交说服他们自愿离开世代居住的家园，从而SecFor公司可砍伐殆尽该地区的原始森林，开采地下昂贵的“不可得”矿。在探索潘多拉星的过程中，杰克遇到了纳美部落的公主娜蒂瑞（佐伊·索尔达娜ZoeSaldana饰），向她学习了纳美人的生存技能与对待自然的态度。与此同时，SecFor公司的经理和军方代表上校迈尔斯（史蒂芬·朗StephenLang饰）逐渐丧失耐心，决定诉诸武力驱赶纳美人……本片采用3D技术拍摄，共耗资5亿美元制作发行，是电影史上最为昂贵的作品。本片荣获...(展开全部),詹姆斯·卡梅隆 导演,萨姆·沃辛顿 饰 杰克·萨利 Jake Sully,佐伊·索尔达娜 饰 Neytiri,西格妮·韦弗 饰 格蕾丝·奥古斯汀博士 Dr. Grace Augustine,史蒂芬·朗 饰 迈尔斯·夸里奇上校 Colonel Miles Quaritch,米歇尔·罗德里格兹 饰 楚蒂·查孔 Trudy Chacón,,
天使爱美丽 Le fabuleux destin d'Amélie Poulain,剧情喜剧爱情,2001,"https://movie.douban.com/subject/1292215
",艾米莉（奥黛丽·塔图AudreyTautou饰）有着别人看来不幸的童年——父亲给她做健康检查时，发现她心跳过快，便断定她患上心脏病，从此艾米莉与学校绝缘。随后因为一桩意外，母亲在她眼前突然死去。这一切都毫不影响艾米莉对生活的豁达乐观。1997年，戴安娜王妃的去世让她倍感人生的孤独脆弱，艾米莉从此开始了一系列助人计划，包括自闭忧郁的邻居老人，被老板刻薄的菜摊伙计、遗失了童年器物的旧房东、爱情失意的咖啡店同事。但她万万想不到，成人录象带商店店员尼诺（马修·卡索维MathieuKassovitz饰），竟成为她的棘手对象，艾米莉开始了令人哭笑不得的另类计划……,让-皮埃尔·热内 导演,奥黛丽·塔图 饰 艾米莉,马修·卡索维茨 饰 尼诺,吕菲斯 饰 艾米莉的父亲,洛莱拉·克拉沃塔 饰 艾米莉的母亲,塞尔·梅林 饰 Raymond Dufayel,,
千与千寻 千と千尋の神隠し,剧情动画奇幻,2001,"https://movie.douban.com/subject/1291561
",千寻和爸爸妈妈一同驱车前往新家，在郊外的小路上不慎进入了神秘的隧道——他们去到了另外一个诡异世界—一个中世纪的小镇。远处飘来食物的香味，爸爸妈妈大快朵颐，孰料之后变成了猪！这时小镇上渐渐来了许多样子古怪、半透明的人。千寻仓皇逃出，一个叫小白的人救了他，喂了她阻止身体消失的药，并且告诉她怎样去找锅炉爷爷以及汤婆婆，而且必须获得一份工作才能不被魔法变成别的东西。千寻在小白的帮助下幸运地获得了一份在浴池打杂的工作。渐渐她不再被那些怪模怪样的人吓倒，并从小玲那儿知道了小白是凶恶的汤婆婆的弟子。一次，千寻发现小白被一群白色飞舞的纸人打伤，为了救受伤的小白，她用河神送给她的药丸驱出了小白身体内的封印以及守封印的小妖精，但小白还是没有醒过来。为了救小白，千寻又踏上了她的冒险之旅。,宫崎骏 导演,柊瑠美 配 荻野千寻 Chihiro Ogino / Sen,入野自由 配 白龙 ハク Haku,夏木真理 配 汤婆婆 / 钱婆婆 Yubaba / Zeniba,菅原文太 配 锅炉爷爷 釜爺 Kamajî,中村彰男 配 无脸男 カオナシ Kaonashi,,
海上钢琴师 La leggenda del pianista sull'oceano,剧情音乐,1998,"https://movie.douban.com/subject/1292001
",本片讲述了一个钢琴天才传奇的一生。1900年，Virginian号豪华邮轮上，一个孤儿被遗弃在头等舱，由船上的水手抚养长大，取名1900（蒂姆•罗斯饰）。1900慢慢长大，显示出了无师自通的非凡钢琴天赋，在船上的乐队表演钢琴，每个听过他演奏的人，都被深深打动。爵士乐鼻祖杰尼听说了1900的高超技艺，专门上船和他比赛，最后自叹弗如，黯然离去。可惜，这一切的事情都发生在海上，1900从来不愿踏上陆地，直到有一天，他爱上了一个女孩，情愫在琴键上流淌。他会不会为了爱情，踏上陆地开始新的生活，用他的琴声惊艳世界？他将怎样谱写自己非凡的人生。,朱塞佩·托纳多雷 导演,蒂姆·罗斯 饰 1900 Danny Boodmann T.D. Lemon Nineteen Hundred '1900',普路特·泰勒·文斯 饰 麦克斯 Max Tooney,比尔·努恩 饰 丹尼 Danny Boodmann,克兰伦斯·威廉姆斯三世 饰 莫顿 'Jelly Roll' Morton,梅兰尼·蒂埃里 饰 女孩 The Girl,,
让子弹飞,剧情喜剧动作西部,2010,"https://movie.douban.com/subject/3742360
",民国年间，花钱捐得县长的马邦德（葛优饰）携妻（刘嘉玲饰）及随从走马上任。途经南国某地，遭劫匪张麻子（姜文饰）一伙伏击，随从尽死，只夫妻二人侥幸活命。马为保命，谎称自己是县长的汤师爷。为汤师爷许下的财富所动，张麻子摇身一变化身县长，带着手下赶赴鹅城上任。有道是天高皇帝远，鹅城地处偏僻，一方霸主黄四郎（周润发饰）只手遮天，全然不将这个新来的县长放在眼里。张麻子痛打了黄的武教头（姜武饰），黄则设计害死张的义子小六（张默饰）。原本只想赚钱的马邦德，怎么也想不到竟会被卷入这场土匪和恶霸的角力之中。鹅城上空愁云密布，血雨腥风在所难免……本片根据马识途的小说《夜谭十记》中的《盗官记》一章改编。,姜文 导演,姜文 饰 张牧之,葛优 饰 马邦德,周润发 饰 黄四郎 / 杨万楼,刘嘉玲 饰 县长夫人,陈坤 饰 胡万,,
霸王别姬,剧情爱情同性,1993,"https://movie.douban.com/subject/1291546
",段小楼（张丰毅）与程蝶衣（张国荣）是一对打小一起长大的师兄弟，两人一个演生，一个饰旦，一向配合天衣无缝，尤其一出《霸王别姬》，更是誉满京城，为此，两人约定合演一辈子《霸王别姬》。但两人对戏剧与人生关系的理解有本质不同，段小楼深知戏非人生，程蝶衣则是人戏不分。段小楼在认为该成家立业之时迎娶了名妓菊仙（巩俐），致使程蝶衣认定菊仙是可耻的第三者，使段小楼做了叛徒，自此，三人围绕一出《霸王别姬》生出的爱恨情仇战开始随着时代风云的变迁不断升级，终酿成悲剧。,陈凯歌 导演,张国荣 饰 程蝶衣,张丰毅 饰 段小楼,巩俐 饰 菊仙,葛优 饰 袁四爷,英达 饰 那坤,,
飞屋环游记 Up,剧情喜剧动画冒险,2009,"https://movie.douban.com/subject/2129039
",小男孩卡尔（CarlFredricksen）怀揣着对于冒险的热爱偶遇假小子艾丽（Ellie），而艾丽把整个屋子当成一艘大飞船游戏居然使他对这个女孩子有些着迷，相同的爱好最终使两个人成为了一生的爱侣。他们有一个梦想，那就是有朝一日要去南美洲的“仙境瀑布”探险，但直到艾丽去世，这个梦想也未能实现。终于有一天，曾经专卖气球的老人卡尔居然用五颜六色的气球拽着他的房子飞上了天空，他决定要去实现他们未曾实现的梦想。令卡尔始料不及的是，门廊居然搭上了一个自称是“荒野开拓者”的小男孩小罗（Russell），小罗的喋喋不休让卡尔对这个小胖墩格外讨厌。一老一少在飞行中经过了千难万险终于看到了传说中的“仙境瀑布”，在相处过程中卡尔发现小罗其实是个惹人怜爱的孩子。在步行穿越一座森林时，他们遇到了不会飞的大鸟凯文（Kevin）和一只会说话的狗狗逗逗（Dug），让老人惊讶...(展开全部),彼特·道格特 导演,鲍勃·彼德森 导演,爱德华·阿斯纳 配 卡尔·费迪逊 Carl Fredricksen,克里斯托弗·普卢默 配 查尔斯·蒙兹 Charles Muntz,乔丹·长井 配 小罗 Russell,鲍勃·彼德森 配 小逗 / 发哥 Dug / Alpha,,
泰坦尼克号 Titanic,剧情爱情灾难,1997,"https://movie.douban.com/subject/1292722
",1912年4月10日，号称“世界工业史上的奇迹”的豪华客轮泰坦尼克号开始了自己的处女航，从英国的南安普顿出发驶往美国纽约。富家少女罗丝（凯特•温丝莱特）与母亲及未婚夫卡尔坐上了头等舱；另一边，放荡不羁的少年画家杰克（莱昂纳多·迪卡普里奥）也在码头的一场赌博中赢得了下等舱的船票。罗丝厌倦了上流社会虚伪的生活，不愿嫁给卡尔，打算投海自尽，被杰克救起。很快，美丽活泼的罗丝与英俊开朗的杰克相爱，杰克带罗丝参加下等舱的舞会、为她画像，二人的感情逐渐升温。1912年4月14日，星期天晚上，一个风平浪静的夜晚。泰坦尼克号撞上了冰山，“永不沉没的”泰坦尼克号面临沉船的命运，罗丝和杰克刚萌芽的爱情也将经历生死的考验。,詹姆斯·卡梅隆 导演,莱昂纳多·迪卡普里奥 饰 杰克 Jack Dawson,凯特·温丝莱特 饰 罗丝 Rose DeWitt Bukater,比利·赞恩 饰 卡尔 Caledon 'Cal' Hockley,凯西·贝茨 饰 莫莉 Molly Brown,弗兰西丝·费舍 饰 鲁丝 Ruth Dewitt Bukater,,
机器人总动员 WALL·E,科幻动画冒险,2008,"https://movie.douban.com/subject/2131459
",公元2805年，人类文明高度发展，却因污染和生活垃圾大量增加使得地球不再适于人类居住。地球人被迫乘坐飞船离开故乡，进行一次漫长无边的宇宙之旅。临行前他们委托Buynlarge的公司对地球垃圾进行清理，该公司开发了名为WALL·E（WasteAllocationLoadLifters–Earth地球废品分装员）的机器人担当此重任。这些机器人按照程序日复一日、年复一年辛勤工作，但随着时间的流逝和恶劣环境的侵蚀，WALL·E们接连损坏、停止运动。最后只有一个仍在进行这项似乎永无止境的工作。经历了漫长的岁月，它开始拥有了自己的意识。它喜欢将收集来的宝贝小心翼翼藏起，喜欢收工后看看几百年前的歌舞片，此外还有一只蟑螂朋友作伴。直到有一天，一艘来自宇宙的飞船打破了它一成不变的生活……本片荣获2009年第81届奥斯卡最佳动画长片奖。,安德鲁·斯坦顿 导演,本·贝尔特 配 瓦力 / 莫 / 机器人 WALL·E / M-O / Robots,艾丽莎·奈特 配 伊芙 EVE,杰夫·格尔林 配 舰长迈克雷 Captain B. McCrea,佛莱德·威拉特 配 谢尔比·福斯雷特 Shelby Forthright,西格妮·韦弗 配 公理号计算机 Ship's Computer,,
剪刀手爱德华 Edward Scissorhands,剧情爱情奇幻,1990,"https://movie.douban.com/subject/1292370
",爱德华（约翰尼•戴普饰）是一个机器人，他拥有人的心智，却有一双剪刀手，孤独地生活在古堡里，闯入古堡的化妆品推销员佩格把他带回家，让他走进了人类的世界。单纯的爱德华爱上了佩格的女儿金（薇诺娜•瑞德饰），金也慢慢的被爱德华的善良所吸引。但是，一连串的意外事情让周围的人邻居对爱德华的态度从喜欢变成无法接受，爱德华痛苦地发现，他总是好心办坏事，连自己的爱人都不能拥抱，或许，他注定就不属于这个世界。,蒂姆·波顿 导演,约翰尼·德普 饰 Edward Scissorhands,薇诺娜·瑞德 饰 Kim,黛安·韦斯特 饰 Peg,安东尼·迈克尔·豪尔 饰 Jim,凯西·贝克 饰 Joyce,,
七宗罪 Se7en,剧情悬疑惊悚犯罪,1995,"https://movie.douban.com/subject/1292223
",“暴食”、“贪婪”、“懒惰”、“嫉妒”、“骄傲”、“淫欲”、“愤怒”，这是天主教教义所指的人性七宗罪。城市中发生的连坏杀人案，死者恰好都是犯有这些教义的人。凶手故弄玄虚的作案手法，令资深冷静的警员沙摩塞（摩根•弗里曼MorganFreeman饰）和血气方刚的新扎警员米尔斯（布拉德•皮特BradPitt饰）都陷入了破案的谜团中。他们去图书馆研读但丁的《神曲》，企图从人间地狱的描绘中找到线索，最后从宗教文学哲学的世界中找到了凶手作案计划和手段的蛛丝马迹。凶手前来投案自首，这令众人都松了一口气，以为案件就此结束，怎料还是逃不出七宗罪的杀人逻辑，这次凶手瞄准的目标，是那个犯了“愤怒”罪的人……,大卫·芬奇 导演,摩根·弗里曼 饰 Somerset,布拉德·皮特 饰 Mills,凯文·史派西 饰 John Doe,格温妮斯·帕特洛 饰 Tracy,安德鲁·凯文·沃克 饰 Dead Man at 1st Crime Scene,,
情书 Love Letter,剧情爱情,1995,"https://movie.douban.com/subject/1292220
",日本神户某个飘雪的冬日，渡边博子（中山美穗）在前未婚夫藤井树的两周年祭日上又一次悲痛到不能自已。正因为无法抑制住对已逝恋人的思念，渡边博子在其中学同学录里发现“藤井树”在小樽市读书时的地址时，依循着寄发了一封本以为是发往天国的情书。不想不久渡边博子竟然收到署名为“藤井树（酒井美纪）”的回信，经过进一步了解，她知晓此藤井树是一个同她年纪相仿的女孩，且还是男友藤井树（柏原崇）少年时代的同班同学。为了多了解一些昔日恋人在中学时代的情况，渡边博子开始与女性藤井树书信往来。而藤井树在不断的回忆中，渐渐发现少年时代与她同名同姓的那个藤井树曾对自己藏了一腔柔情。,岩井俊二 导演,中山美穗 饰 渡边博子 / 藤井树(女),丰川悦司 饰 秋叶茂,酒井美纪 饰 藤井树(少女),柏原崇 饰 藤井树(少年),范文雀 饰 藤井晶子,,
